COUNTRY,YEAR,total_events,total_fatalities,avg_population_exposure,num_weeks_with_events,num_event_types,num_admin_regions,milex_constant_usd_m,milex_per_capita,milex_share_gdp,milex_current_usd_m,income_classification,country_id,iso_code,current_income_group,lending_category,total_events_lag1,total_events_lag2,total_fatalities_lag1,total_fatalities_lag2,milex_constant_usd_m_lag1,milex_constant_usd_m_lag2,milex_per_capita_lag1,milex_per_capita_lag2,milex_share_gdp_lag1,milex_share_gdp_lag2,total_events_pct_change,total_fatalities_pct_change,milex_constant_usd_m_pct_change,total_events_rolling3,total_fatalities_rolling3,fatalities_escalation,income_level_numeric
Kuwait,2019,22,0,14782.842105263158,17,2,4,8299.949598865192,1668.2171350321507,0.05323116692923607,7373.519736842106,H,6,KWT,High income,,5.0,4.0,0.0,0.0,8108.522231576209,7726.248253721028,1695.121613327762,1656.7810222576666,0.05190854737287759,0.056074453643333785,3.4000000000000004,,0.023608169506340593,10.333333333333334,0.0,0,4.0
Kuwait,2020,21,1,12893.615384615385,14,3,3,7727.819951250152,1554.8929984939232,0.06472172835420212,6941.042345276873,H,6,KWT,High income,,22.0,5.0,0.0,0.0,8299.949598865192,8108.522231576209,1668.2171350321507,1695.121613327762,0.05323116692923607,0.05190854737287759,-0.045454545454545414,inf,-0.06893170142783334,16.0,0.3333333333333333,1,4.0
Kuwait,2021,13,0,8482.272727272728,12,2,2,9524.800363945837,2081.258198379326,0.06351581365596294,9024.335548172758,H,6,KWT,High income,,21.0,22.0,1.0,0.0,7727.819951250152,8299.949598865192,1554.8929984939232,1668.2171350321507,0.06472172835420212,0.05323116692923607,-0.38095238095238093,-1.0,0.23253393894160035,18.666666666666668,0.3333333333333333,0,4.0
Kuwait,2022,22,0,9595.363636363636,15,2,2,8516.195249001312,1879.6446423315056,0.04510754268494416,8244.121401265984,H,6,KWT,High income,,13.0,21.0,0.0,1.0,9524.800363945837,7727.819951250152,2081.258198379326,1554.8929984939232,0.06351581365596294,0.06472172835420212,0.6923076923076923,,-0.10589252020046436,18.666666666666668,0.3333333333333333,0,4.0
Kuwait,2023,18,0,8606.857142857143,15,2,2,7755.031935627665,1617.991223790458,0.04768858417268116,7755.031935627666,H,6,KWT,High income,,22.0,13.0,0.0,0.0,8516.195249001312,9524.800363945837,1879.6446423315056,2081.258198379326,0.04510754268494416,0.06351581365596294,-0.18181818181818177,,-0.08937833047720556,17.666666666666668,0.0,0,4.0
Kuwait,2024,9,0,10836.0,9,2,2,7555.304448220574,1595.6031051823047,0.048409324738438925,7792.925565710376,H,6,KWT,High income,,18.0,22.0,0.0,0.0,7755.031935627665,8516.195249001312,1617.991223790458,1879.6446423315056,0.04768858417268116,0.04510754268494416,-0.5,,-0.02575456672067533,16.333333333333332,0.0,0,4.0
Kuwait,2026,62,12,10039.0,2,3,6,,,,,H,6,KWT,High income,,9.0,18.0,0.0,0.0,7555.304448220574,7755.031935627665,1595.6031051823047,1617.991223790458,0.048409324738438925,0.04768858417268116,5.888888888888889,inf,0.0,29.666666666666668,4.0,1,4.0
Lebanon,2015,2,0,11912.5,1,1,2,1812.5479582594653,342.20906077925537,0.0448517082491055,2239.416093739447,UM,7,LBN,Lower middle income,IBRD,,,,,,,,,,,,,,2.0,0.0,0,3.0
Lebanon,2016,929,221,54841.11287128713,53,6,8,2126.2814170446863,407.19526766477946,0.050959805526496316,2606.456908322253,UM,7,LBN,Lower middle income,IBRD,2.0,,0.0,,1812.5479582594653,,342.20906077925537,,0.0448517082491055,,463.5,inf,0.17308974218066475,465.5,110.5,1,3.0
Lebanon,2017,754,389,46896.91066997519,52,6,8,1908.8776111979496,390.8846848708121,0.04603397368026719,2441.074857018222,UM,7,LBN,Lower middle income,IBRD,929.0,2.0,221.0,0.0,2126.2814170446863,1812.5479582594653,407.19526766477946,342.20906077925537,0.050959805526496316,0.0448517082491055,-0.18837459634015075,0.7601809954751131,-0.1022460169683963,561.6666666666666,203.33333333333334,1,3.0
Lebanon,2018,577,36,53277.18260869565,52,6,8,2046.0963514827006,456.88194505458097,0.050555209744563206,2775.557816206579,UM,7,LBN,Lower middle income,IBRD,754.0,929.0,389.0,221.0,1908.8776111979496,2126.2814170446863,390.8846848708121,407.19526766477946,0.04603397368026719,0.050959805526496316,-0.23474801061007955,-0.9074550128534704,0.07188451448107092,753.3333333333334,215.33333333333334,0,3.0
Lebanon,2019,3658,25,78604.98965517241,52,6,8,1804.3932251558906,394.71548218646853,0.047393827778858914,2326.058336524859,UM,7,LBN,Lower middle income,IBRD,577.0,754.0,36.0,389.0,2046.0963514827006,1908.8776111979496,456.88194505458097,390.8846848708121,0.050555209744563206,0.04603397368026719,5.339688041594454,-0.3055555555555556,-0.11812890734674353,1663.0,150.0,0,3.0
Lebanon,2020,2931,48,74346.28611500701,52,6,8,743.8389875715228,75.8411256064148,0.030266583649933166,431.9910514541387,UM,7,LBN,Lower middle income,IBRD,3658.0,577.0,25.0,36.0,1804.3932251558906,2046.0963514827006,394.71548218646853,456.88194505458097,0.047393827778858914,0.050555209744563206,-0.1987424822307272,0.9199999999999999,-0.5877622586910018,2388.6666666666665,36.333333333333336,1,3.0
Lebanon,2021,3210,74,66300.08310991956,52,6,8,290.93247041926435,30.06086123987278,0.01609054299679692,171.58739595719382,UM,7,LBN,Lower middle income,IBRD,2931.0,3658.0,48.0,25.0,743.8389875715228,1804.3932251558906,75.8411256064148,394.71548218646853,0.030266583649933166,0.047393827778858914,0.09518935516888427,0.5416666666666667,-0.608877088616856,3266.3333333333335,49.0,1,3.0
Lebanon,2022,1310,54,53956.63652173913,53,6,8,246.46475301637298,38.18919902167829,0.013950376434210307,218.74773199617326,UM,7,LBN,Lower middle income,IBRD,3210.0,2931.0,74.0,48.0,290.93247041926435,743.8389875715228,30.06086123987278,75.8411256064148,0.01609054299679692,0.030266583649933166,-0.5919003115264798,-0.2702702702702703,-0.15284549482843457,2483.6666666666665,58.666666666666664,0,3.0
Lebanon,2023,3294,291,53059.71305841924,52,6,8,286.21731780181096,49.6818812362109,0.01624092345755437,286.21731780181096,LM,7,LBN,Lower middle income,IBRD,1310.0,3210.0,54.0,74.0,246.46475301637298,290.93247041926435,38.18919902167829,30.06086123987278,0.013950376434210307,0.01609054299679692,1.5145038167938933,4.388888888888889,0.16129107427704747,2604.6666666666665,139.66666666666666,1,2.0
Lebanon,2024,14541,4035,65264.3772070626,52,6,8,453.0084749487151,109.8291690125051,0.025882853822520337,635.4715719063546,LM,7,LBN,Lower middle income,IBRD,3294.0,1310.0,291.0,54.0,286.21731780181096,246.46475301637298,49.6818812362109,38.18919902167829,0.01624092345755437,0.013950376434210307,3.4143897996357016,12.8659793814433,0.5827430654017847,6381.666666666667,1460.0,1,2.0
Lebanon,2025,3705,411,26615.6825633383,52,6,8,,,,,LM,7,LBN,Lower middle income,IBRD,14541.0,3294.0,4035.0,291.0,453.0084749487151,286.21731780181096,109.8291690125051,49.6818812362109,0.025882853822520337,0.01624092345755437,-0.7452032184856612,-0.8981412639405204,0.0,7180.0,1579.0,0,2.0
Lebanon,2026,1687,640,33389.03921568627,10,6,8,,,,,LM,7,LBN,Lower middle income,IBRD,3705.0,14541.0,411.0,4035.0,,453.0084749487151,,109.8291690125051,,0.025882853822520337,-0.5446693657219973,0.5571776155717763,0.0,6644.333333333333,1695.3333333333333,1,2.0
Oman,2016,3,0,,3,1,2,8565.495826102837,1849.442038391056,0.10563126228939859,7935.955786736021,H,8,OMN,High income,,,,,,,,,,,,,,,3.0,0.0,0,4.0
Oman,2017,1,0,,1,1,1,7226.879827841738,1515.0703340178,0.08413249952121545,6802.665799739922,H,8,OMN,High income,,3.0,,0.0,,8565.495826102837,,1849.442038391056,,0.10563126228939859,,-0.6666666666666667,,-0.1562800362568325,2.0,0.0,0,4.0
Oman,2018,7,0,11989.0,4,2,3,7966.906741267378,1650.3805853798024,0.08267601442385016,7565.344603381014,H,8,OMN,High income,,1.0,3.0,0.0,0.0,7226.879827841738,8565.495826102837,1515.0703340178,1849.442038391056,0.08413249952121545,0.10563126228939859,6.0,,0.10239922775174248,3.6666666666666665,0.0,0,4.0
Oman,2019,1,0,,1,1,1,6865.090349448736,1420.7417723039748,0.0743921190765759,6551.040312093628,H,8,OMN,High income,,7.0,1.0,0.0,0.0,7966.906741267378,7226.879827841738,1650.3805853798024,1515.0703340178,0.08267601442385016,0.08413249952121545,-0.8571428571428572,,-0.13829914515145492,3.0,0.0,0,4.0
Oman,2020,6,0,,4,1,2,6413.997300456001,1333.5613022563518,0.08030242505396253,6095.708712613784,H,8,OMN,High income,,1.0,7.0,0.0,0.0,6865.090349448736,7966.906741267378,1420.7417723039748,1650.3805853798024,0.0743921190765759,0.08267601442385016,5.0,,-0.06570824650967011,4.666666666666667,0.0,0,4.0
Oman,2021,21,2,8734.615384615385,4,4,7,5984.928467893375,1292.7168271178716,0.06623175199393636,5783.615084525357,H,8,OMN,High income,,6.0,1.0,0.0,0.0,6413.997300456001,6865.090349448736,1333.5613022563518,1420.7417723039748,0.08030242505396253,0.0743921190765759,2.5,inf,-0.06689569896328484,9.333333333333334,0.6666666666666666,1,4.0
Oman,2022,9,0,,8,1,3,5838.473438004597,1277.5535775378073,0.05264759081783401,5783.485045513654,H,8,OMN,High income,,21.0,6.0,2.0,0.0,5984.928467893375,6413.997300456001,1292.7168271178716,1333.5613022563518,0.06623175199393636,0.08030242505396253,-0.5714285714285714,-1.0,-0.024470639987503207,12.0,0.6666666666666666,0,4.0
Oman,2023,15,0,12113.0,10,2,8,5851.7555266579975,1186.246812620717,0.05525960964611746,5851.7555266579975,H,8,OMN,High income,,9.0,21.0,0.0,2.0,5838.473438004597,5984.928467893375,1277.5535775378073,1292.7168271178716,0.05264759081783401,0.06623175199393636,0.6666666666666667,,0.0022749249087858914,15.0,0.6666666666666666,0,4.0
